# KAPUTNIK Flight Data v5
# Sample rate: 500 Hz
# Samples: 4989
# Accel range: +/-16 g
# Gyro range: +/-2000 dps
# Epoch start: 1776861866105
epoch_us,ax,ay,az,gx,gy,gz,gp14,mx,my,mz,mag_valid
1776861866105000,0,0,20601,4,-2016,9,67,-32001,6399,4352,0
1776861866105000,0,0,22601,4,-2020,9,65,-32257,6911,4096,0
1776861866105000,0,0,24601,4,-2017,5,71,32767,7167,3840,0
1776861866105000,0,0,26601,4,-2017,13,65,-32513,6655,3584,0
1776861866105000,0,0,-1,-1,-1,-1,255,-1,-1,-1,255
1776861866395746,-2022,16,-195,-130,26,13,0,0,0,0,0
1776861866397746,-2023,12,-203,-129,25,14,0,0,0,0,0
1776861866399743,-2031,10,-196,-130,25,15,0,0,0,0,0
1776861866401743,-2028,7,-184,-129,24,19,0,0,0,0,0
1776861866403743,-2027,6,-182,-127,24,16,0,0,0,0,0
1776861866405743,-2028,7,-176,-127,24,15,0,0,0,0,0
1776861866407744,-2026,9,-181,-129,25,15,0,0,0,0,0
1776861866409744,-2024,9,-184,-131,25,16,0,0,0,0,0
1776861866411744,-2022,10,-186,-131,26,14,0,0,0,0,0
1776861866413744,-2021,8,-191,-130,26,16,0,0,0,0,0
1776866161072295,-1,-1,-1,-1,-1,-1,216,1213,5888,3320,0
1776866152749031,26,17,0,0,0,0,168,1221,6656,2552,0
1776866152814564,27,15,0,0,0,0,120,1229,7680,2552,0
1776866152683492,29,18,0,0,0,0,72,1237,7168,1784,0
1776866152617963,28,19,0,0,0,0,24,1245,5376,2296,0
1776866152617959,26,17,0,0,0,0,232,1252,7680,2296,0
1776866152617958,25,17,0,0,0,0,184,1260,7168,2040,0
1776866152683482,26,17,0,0,0,0,136,1268,6912,4088,0
1776866152749027,25,17,0,0,0,0,88,1276,7168,3576,0
1776866152880104,23,16,0,0,0,0,40,1284,7168,2808,0
1776866152814564,24,15,0,0,0,0,255,-1,-1,-1,255
1776866161072295,-1,-1,3064,5,-2024,9,67,32767,7167,3840,0
1776861866105000,0,0,5065,5,-2021,11,66,32767,6911,4096,0
1776861866105000,0,0,7065,5,-2024,10,73,-32513,6655,4352,0
1776861866105000,0,0,9065,5,-2025,10,69,-32513,7167,4352,0
1776861866105000,0,0,11065,5,-2021,10,65,-32001,7167,4352,0
1776861866105000,0,0,13066,5,-2021,11,71,-32257,6399,3840,0
1776861866105000,0,0,15063,5,-2019,7,70,32767,6143,3840,0
1776861866105000,0,0,17063,5,-2023,3,75,32767,6143,3840,0
1776861866105000,0,0,19063,5,-2022,2,61,32255,5631,4096,0
1776861866105000,0,0,21063,5,-2023,7,60,32767,6143,4096,0
1776861866105000,0,0,-1,-1,-1,-1,255,-1,-1,-1,255
1776861866455743,-2023,11,-200,-127,23,16,0,0,0,0,0
1776861866457744,-2022,7,-202,-128,21,16,0,0,0,0,0
1776861866459744,-2026,9,-200,-129,23,16,0,0,0,0,0
1776861866461744,-2022,8,-197,-129,26,16,0,0,0,0,0
1776861866463744,-2024,7,-188,-129,28,15,0,0,0,0,0
1776861866465744,-2025,11,-186,-128,26,14,0,0,0,0,0
1776861866467744,-2024,11,-177,-127,26,15,0,0,0,0,0
1776861866469744,-2021,7,-190,-127,24,15,0,0,0,0,0
1776861866471744,-2015,6,-196,-130,25,17,0,0,0,0,0
1776861866473744,-2021,13,-199,-132,25,16,0,0,0,0,0
1776866161072295,-1,-1,-1,-1,-1,-1,56,1448,6912,3064,0
1776866152617957,24,17,0,0,0,0,9,1456,6656,4344,0
1776866152749034,25,17,0,0,0,0,217,1463,6656,3320,0
